 HEAD
﻿Notes,Occurrence County,Occurrence County Code,MMWR Week,MMWR Week Code,Deaths,Population,Crude Rate
,"Fairfield County, CT",9001,"2021 Week 41 ending October 16, 2021 (provisional)",2021/41,115,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2021 Week 42 ending October 23, 2021 (provisional)",2021/42,151,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2021 Week 43 ending October 30, 2021 (provisional)",2021/43,136,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2021 Week 44 ending November 06, 2021 (provisional)",2021/44,147,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2021 Week 45 ending November 13, 2021 (provisional)",2021/45,129,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2021 Week 46 ending November 20, 2021 (provisional)",2021/46,134,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2021 Week 47 ending November 27, 2021 (provisional)",2021/47,136,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2021 Week 48 ending December 04, 2021 (provisional)",2021/48,151,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2021 Week 49 ending December 11, 2021 (provisional)",2021/49,133,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2021 Week 50 ending December 18, 2021 (provisional)",2021/50,144,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2021 Week 51 ending December 25, 2021 (provisional)",2021/51,158,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2021 Week 52 ending January 01, 2022 (provisional)",2021/52,170,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2022 Week 01 ending January 08, 2022 (provisional)",2022/01,188,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2022 Week 02 ending January 15, 2022 (provisional)",2022/02,179,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2022 Week 03 ending January 22, 2022 (provisional)",2022/03,195,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2022 Week 04 ending January 29, 2022 (provisional)",2022/04,153,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2022 Week 05 ending February 05, 2022 (provisional)",2022/05,140,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2022 Week 06 ending February 12, 2022 (provisional)",2022/06,110,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2022 Week 07 ending February 19, 2022 (provisional)",2022/07,42,Not Applicable,Not Applicable
,"Hartford County, CT",9003,"2018 Week 01 ending January 06, 2018",2018/01,170,Not Applicable,Not Applicable
,"Hartford County, CT",9003,"2018 Week 02 ending January 13, 2018",2018/02,230,Not Applicable,Not Applicable
,"Hartford County, CT",9003,"2018 Week 03 ending January 20, 2018",2018/03,198,Not Applicable,Not Applicable
,"Hartford County, CT",9003,"2018 Week 04 ending January 27, 2018",2018/04,211,Not Applicable,Not Applicable
,"Hartford County, CT",9003,"2018 Week 05 ending February 03, 2018",2018/05,156,Not Applicable,Not Applicable
,"Hartford County, CT",9003,"2018 Week 06 ending February 10, 2018",2018/06,200,Not Applicable,Not Applicable
,"Hartford County, CT",9003,"2018 Week 07 ending February 17, 2018",2018/07,184,Not Applicable,Not Applicable
,"Hartford County, CT",9003,"2018 Week 08 ending February 24, 2018",2018/08,172,Not Applicable,Not Applicable
,"Hartford County, CT",9003,"2018 Week 09 ending March 03, 2018",2018/09,171,Not Applicable,Not Applicable
,"Hartford County, CT",9003,"2018 Week 10 ending March 10, 2018",2018/10,169,Not Applicable,Not Applicable
,"Hartford County, CT",9003,"2018 Week 11 ending March 17, 2018",2018/11,165,Not Applicable,Not Applicable
,"Hartford County, CT",9003,"2018 Week 12 ending March 24, 2018",2018/12,172,Not Applicable,Not Applicable
,"Hartford County, CT",9003,"2018 Week 13 ending March 31, 2018",2018/13,166,Not Applicable,Not Applicable
,"Hartford County, CT",9003,"2018 Week 14 ending April 07, 2018",2018/14,178,Not Applicable,Not Applicable
,"Hartford County, CT",9003,"2018 Week 15 ending April 14, 2018",2018/15,217,Not Applicable,Not Applicable
,"Hartford County, CT",9003,"2018 Week 16 ending April 21, 2018",2018/16,162,Not Applicable,Not Applicable
,"Hartford County, CT",9003,"2018 Week 17 ending April 28, 2018",2018/17,200,Not Applicable,Not Applicable
,"Hartford County, CT",9003,"2018 Week 18 ending May 05, 2018",2018/18,179,Not Applicable,Not Applicable
,"Hartford County, CT",9003,"2018 Week 19 ending May 12, 2018",2018/19,166,Not Applicable,Not Applicable
,"Hartford County, CT",9003,"2018 Week 20 ending May 19, 2018",2018/20,147,Not Applicable,Not Applicable
,"Hartford County, CT",9003,"2018 Week 21 ending May 26, 2018",2018/21,146,Not Applicable,Not Applicable
,"Hartford County, CT",9003,"2018 Week 22 ending June 02, 2018",2018/22,151,Not Applicable,Not Applicable
,"Hartford County, CT",9003,"2018 Week 23 ending June 09, 2018",2018/23,169,Not Applicable,Not Applicable
,"Hartford County, CT",9003,"2018 Week 24 ending June 16, 2018",2018/24,139,Not Applicable,Not Applicable
,"Hartford County, CT",9003,"2018 Week 25 ending June 23, 2018",2018/25,168,Not Applicable,Not Applicable
,"Hartford County, CT",9003,"2018 Week 26 ending June 30, 2018",2018/26,161,Not Applicable,Not Applicable
,"Hartford County, CT",9003,"2018 Week 27 ending July 07, 2018",2018/27,189,Not Applicable,Not Applicable
