Notes,Residence County,Residence County Code,MMWR Week,MMWR Week Code,Deaths,Population,Crude Rate
,"Grays Harbor County, WA",53027,"2021 Week 23 ending June 12, 2021 (provisional)",2021/23,27,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2021 Week 24 ending June 19, 2021 (provisional)",2021/24,16,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2021 Week 25 ending June 26, 2021 (provisional)",2021/25,19,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2021 Week 26 ending July 03, 2021 (provisional)",2021/26,30,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2021 Week 27 ending July 10, 2021 (provisional)",2021/27,18,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2021 Week 28 ending July 17, 2021 (provisional)",2021/28,20,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2021 Week 29 ending July 24, 2021 (provisional)",2021/29,18,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2021 Week 30 ending July 31, 2021 (provisional)",2021/30,14,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2021 Week 31 ending August 07, 2021 (provisional)",2021/31,26,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2021 Week 32 ending August 14, 2021 (provisional)",2021/32,22,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2021 Week 33 ending August 21, 2021 (provisional)",2021/33,28,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2021 Week 34 ending August 28, 2021 (provisional)",2021/34,25,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2021 Week 35 ending September 04, 2021 (provisional)",2021/35,18,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2021 Week 36 ending September 11, 2021 (provisional)",2021/36,22,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2021 Week 37 ending September 18, 2021 (provisional)",2021/37,18,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2021 Week 38 ending September 25, 2021 (provisional)",2021/38,24,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2021 Week 39 ending October 02, 2021 (provisional)",2021/39,27,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2021 Week 40 ending October 09, 2021 (provisional)",2021/40,24,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2021 Week 41 ending October 16, 2021 (provisional)",2021/41,27,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2021 Week 42 ending October 23, 2021 (provisional)",2021/42,38,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2021 Week 43 ending October 30, 2021 (provisional)",2021/43,22,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2021 Week 44 ending November 06, 2021 (provisional)",2021/44,27,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2021 Week 45 ending November 13, 2021 (provisional)",2021/45,25,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2021 Week 46 ending November 20, 2021 (provisional)",2021/46,24,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2021 Week 47 ending November 27, 2021 (provisional)",2021/47,21,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2021 Week 48 ending December 04, 2021 (provisional)",2021/48,25,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2021 Week 49 ending December 11, 2021 (provisional)",2021/49,18,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2021 Week 50 ending December 18, 2021 (provisional)",2021/50,22,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2021 Week 51 ending December 25, 2021 (provisional)",2021/51,18,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2021 Week 52 ending January 01, 2022 (provisional)",2021/52,22,Not Applicable,Not Applicable
Total,"Grays Harbor County, WA",53027,,,3012,Not Applicable,Not Applicable
,"Island County, WA",53029,"2019 Week 01 ending January 05, 2019",2019/01,19,Not Applicable,Not Applicable
,"Island County, WA",53029,"2019 Week 02 ending January 12, 2019",2019/02,22,Not Applicable,Not Applicable
,"Island County, WA",53029,"2019 Week 03 ending January 19, 2019",2019/03,14,Not Applicable,Not Applicable
,"Island County, WA",53029,"2019 Week 04 ending January 26, 2019",2019/04,21,Not Applicable,Not Applicable
,"Island County, WA",53029,"2019 Week 05 ending February 02, 2019",2019/05,10,Not Applicable,Not Applicable
,"Island County, WA",53029,"2019 Week 06 ending February 09, 2019",2019/06,11,Not Applicable,Not Applicable
,"Island County, WA",53029,"2019 Week 07 ending February 16, 2019",2019/07,24,Not Applicable,Not Applicable
